,bp,hr,rr,spo2,tmp,missing_pattern,imputation_method,metric,exp,sum_error
error,268.7987309282761,835.5858405817767,242.05719663482105,26.216312562384143,2.6857771281905043,mcar,median,mse,1,1375.3438578354487
error,264.7463282475403,827.1743904177955,224.17403393697418,26.494438899187223,2.6500841294738353,mcar,median,mse,1,1345.2392756309707
error,7.722683605674268,8.159139881486801,2.869653438678398,1.562803016699587,0.5372845214580715,mar,locf,mae,2,20.85156446399713
error,7.667714131801041,8.09671844137188,2.9042714131801044,1.5560468665828695,0.5461146525408511,mar,locf,mae,2,20.770865505476745
error,7.722032680912193,8.136985993894776,2.892785957981684,1.5561815406715749,0.5599703717004849,mar,locf,mae,2,20.86795654516071
error,7.730090680553062,8.128905548572455,2.9125426467947566,1.5424896749865327,0.5719586101634045,mar,locf,mae,2,20.885987161070208
error,7.705377985275633,8.112654875202011,2.902895492907165,1.5691775902316394,0.5554610342970013,mar,locf,mae,2,20.845566977913446
error,115.92675974142576,165.04336505656312,36.94059750404022,8.7727150296283,2.398020066439217,mar,locf,mse,2,329.08145739809663
error,113.60957981684324,158.233771772311,42.557705377985265,8.678241156401509,2.64612654875202,mar,locf,mse,2,325.725424672293
error,117.11837852397198,161.6376144729754,30.26420901418567,8.25756419464895,2.7967350511761535,mar,locf,mse,2,320.0745012569581
error,115.39632339737834,162.90839917399893,27.39873989944334,7.9810782905369,2.8946644370623087,mar,locf,mse,2,316.57920519841986
error,114.80889746812713,162.04159184772848,26.94996722930508,8.995421080984018,2.7796922697073083,mar,locf,mse,2,315.575569895852
error,14.026306338660442,30.81491291075597,9.303335428263603,2.4745017058717904,0.7738530256778596,mar,median,mae,3,57.39290940922966
error,13.976993176512838,30.82350960675166,9.44183650565631,2.461595439037529,0.7678690070030526,mar,median,mae,3,57.47180373496139
error,13.99292961034297,30.84187017417849,9.586101634045612,2.476948285149937,0.7697207757227511,mar,median,mae,3,57.66757047943976
error,14.015756868378524,30.832151194110253,9.383866044173102,2.472167355000898,0.7761020829592389,mar,median,mae,3,57.48004354462202
error,13.98686927635123,30.87196983300413,9.49545699407434,2.479215298976477,0.7664818638893878,mar,median,mae,3,57.59999326629556
error,313.11851319806067,1250.1970730831388,151.63588840007185,14.692583946848627,3.041880723648771,mar,median,mse,3,1732.6859393517689
error,311.22120219069853,1248.597077572275,153.9541293320165,14.611263242952056,2.954300817022805,mar,median,mse,3,1731.3379731549649
error,313.59483300413,1253.1312398994432,159.34516968935174,15.092992458251032,2.9492395403124445,mar,median,mse,3,1744.1134745914885
error,311.3489405638355,1251.3746633147782,145.05725668881308,14.910262165559347,2.986740662596517,mar,median,mse,3,1725.6778633955826
error,312.45522086550545,1254.026126773209,140.2384359849165,15.049649847369366,2.888127805710182,mar,median,mse,3,1724.6575612767106
error,6.5773908236594805,8.568097268850376,3.818038169505438,2.004892890917314,0.6570279658470187,mnar,locf,mae,4,21.62544711877963
error,6.5846692463607885,8.547908538245169,3.821978247486148,2.0006249743020437,0.6714881825734944,mnar,locf,mae,4,21.626669188967643
error,6.600608070757325,8.48141426972749,3.9149856351323615,1.9691542288557213,0.6606000636390956,mnar,locf,mae,4,21.626762268111992
error,6.592039800995025,8.518646220851103,3.8910989123743076,2.025270342502364,0.6682217292156482,mnar,locf,mae,4,21.695277005938447
error,6.4759535655058045,8.494979281976832,3.917638005335522,1.9901813247810534,0.6647548127066062,mnar,locf,mae,4,21.543506990305815
error,90.4888704625023,170.56679672141064,441.98023804637796,11.072184531886025,2.678900094574767,mnar,locf,mse,4,716.7869898567516
error,93.87359498802284,170.47026888062183,438.7551097886312,10.981110974055342,2.9263588970991177,mnar,locf,mse,4,717.0064435284304
error,92.5465450525152,166.44690439464054,446.01547352760105,10.376670367172402,2.757034461454153,mnar,locf,mse,4,718.1426278033834
error,93.4824765063571,168.07283065662523,445.6276857172173,11.230796431067802,2.813995959801304,mnar,locf,mse,4,721.2277852710688
error,88.01057674590012,168.43258325015879,445.0389144264314,10.86269479051026,2.806569436440453,mnar,locf,mse,4,715.151338649441
error,13.168583010871568,25.94241296918005,11.612215267802174,3.030582624069734,0.7292816737082148,mnar,median,mae,5,54.48307554563175
error,13.168583010871568,25.94241296918005,11.612215267802174,3.030582624069734,0.7292816737082147,mnar,median,mae,5,54.48307554563175
error,13.168583010871568,25.94241296918005,11.612215267802174,3.030582624069734,0.7292816737082148,mnar,median,mae,5,54.48307554563175
error,13.168583010871568,25.94241296918005,11.612215267802176,3.030582624069734,0.7292816737082151,mnar,median,mae,5,54.48307554563175
error,13.168583010871568,25.94241296918005,11.612215267802174,3.030582624069734,0.7292816737082148,mnar,median,mae,5,54.48307554563175
